Date,Humid
2014-8-4,77.63655602
2014-8-5,87.98474104
2014-8-6,89.57599156
2014-8-7,82.79271186
2014-8-8,75.47264706
2014-8-9,74.32216102
2014-8-10,78.20679167
2014-8-11,81.94970833
2014-8-12,71.27986239
2014-8-13,70.2612605
2014-8-14,76.0597479
2014-8-15,86.89495833
2014-8-16,84.08163265
2014-8-17,83.03688259
2014-8-18,77.95233333
2014-8-19,77.48117371
2014-8-20,86.378
2014-8-21,86.10079545
2014-8-22,85.53636364
2014-8-23,87.91721053
2014-8-24,81.26818182
2014-8-25,79.00104396
2014-8-26,78.51340782
2014-8-27,76.78373494
2014-8-28,88.01374269
2014-8-29,85.85407609
2014-8-30,85.67887701
2014-8-31,84.85022346
2014-9-1,83.07048583
2014-9-2,75.97413934
2014-9-3,80.33970464
2014-9-4,76.41092827
2014-9-5,80.52341564
2014-9-6,76.63138075
2014-9-7,73.80437247
2014-9-8,83.98847458
2014-9-9,87.65329365
2014-9-10,89.37558594
2014-9-11,76.3936214
2014-9-12,82.23295082
2014-9-13,75.08420168
2014-9-14,71.29432773
2014-9-15,80.26108333
2014-9-16,75.64532567
2014-9-17,72.25355932
2014-9-18,76.5220339
2014-9-19,76.87096234
2014-9-20,75.24938776
2014-9-21,71.63012448
2014-9-22,75.47252066
2014-9-23,71.41847458
2014-9-24,76.93616034
2014-9-25,73.76870293
2014-9-26,71.21654709
2014-9-27,71.95761468
2014-9-28,70.80469828
2014-9-29,75.58020576
2014-9-30,82.84254098
2014-10-1,86.53327935
2014-10-2,95.41472119
2014-10-3,74.72168675
2014-10-4,60.72604167
2014-10-5,64.87327731
2014-10-6,65.78734177
2014-10-7,62.77864407
2014-10-8,62.00276786
2014-10-9,56.76938679
2014-10-10,63.66108696
2014-10-11,69.39675105
2014-10-12,80.20896266
2014-10-13,96.50820717
2014-10-14,84.22228682
2014-10-15,55.97911017
2014-10-16,68.02705628
2014-10-17,68.44763314
2014-10-18,75.96687151
2014-10-19,76.69988024
2014-10-20,66.4264497
2014-10-21,71.85616766
2014-10-22,74.20142857
2014-10-23,77.76818182
2014-10-24,95.66164103
2014-10-25,66.32252427
2014-10-26,58.43864979
2014-10-27,70.41394958
2014-10-28,67.50066964
2014-10-29,65.39569038
2014-10-30,73.08231092
2014-10-31,56.96271186
2014-11-1,66.91559322
2014-11-2,50.14753846
2014-11-3,67.03097872
2014-11-4,71.68530612
2014-11-5,71.76241379
2014-11-6,69.56419087
2014-11-7,74.65772532
2014-11-8,60.95071111
2014-11-9,63.89213675
2014-11-10,72.04478814
2014-11-11,83.26008
2014-11-12,71.96898876
2014-11-13,79.59915254
2014-11-14,74.84900585
2014-11-15,82.01069149
2014-11-16,84.8284
2014-11-17,76.51168605
2014-11-18,74.44815029
2014-11-19,73.72302326
2014-11-20,74.45052941
2014-11-21,78.22987879
2014-11-22,86.91595506
2014-11-23,95.67311224
2014-11-24,87.54466321
2014-11-25,77.47977901
2014-11-26,83.75344828
2014-11-27,80.60086486
2014-11-28,76.58654762
2014-11-29,87.48431138
2014-11-30,83.03227513
2014-12-1,60.11911243
2014-12-2,66.28325301
2014-12-3,70.75150602
2014-12-4,67.16152047
2014-12-5,88.19729885
2014-12-6,84.06097701
2014-12-7,82.08733728
2014-12-8,90.95631868
2014-12-9,82.04729412
2014-12-10,87.35261905
2014-12-11,87.85352601
2014-12-12,91.6171978
2014-12-13,96.6672449
2014-12-14,97.11819149
2014-12-15,97.31520202
2014-12-16,88.84674157
2014-12-17,80.97670659
2014-12-18,85.24005682
2014-12-19,84.57728324
2014-12-20,91.80301587
2014-12-21,94.91967213
2014-12-22,94.81453488
2014-12-23,96.99237374
2014-12-24,94.31701195
2014-12-25,85.79337449
2014-12-26,90.56154506
2014-12-27,90.1048996
2014-12-28,82.98974576
2014-12-29,79.08906883
2014-12-30,71.8442616
2014-12-31,70.8032636
2015-1-1,72.21462185
2015-1-2,76.2542616
2015-1-3,86.63734127
2015-1-4,77.98637736
