Date,Temp
2014-8-13,21.79166667
2014-8-14,18.79166667
2014-8-15,19.04166667
2014-8-16,20
2014-8-17,20.75
2014-8-18,20.83333333
2014-8-19,22.04166667
2014-8-20,24
2014-8-21,22.75
2014-8-22,22.79166667
2014-8-23,21.54166667
2014-8-24,22.83333333
2014-8-25,21.16666667
2014-8-26,19.25
2014-8-27,19.54166667
2014-8-28,22.125
2014-8-29,22.58333333
2014-8-30,20.95833333
2014-8-31,22.04166667
2014-9-1,21.58333333
2014-9-2,19.5
2014-9-3,14.41666667
2014-9-4,16.91666667
2014-9-5,18.66666667
2014-9-6,20.54166667
2014-9-7,22.125
2014-9-8,15.08333333
2014-9-9,14.45833333
2014-9-10,13.91666667
2014-9-11,14.29166667
2014-9-12,15.83333333
2014-9-13,19.20833333
2014-9-14,12.08333333
2014-9-15,11.91666667
2014-9-16,12.83333333
2014-9-17,14.625
2014-9-18,13.41666667
2014-9-19,15.125
2014-9-20,14.08333333
2014-9-21,14.45833333
2014-9-22,17.75
2014-9-23,11.875
2014-9-24,9.416666667
2014-9-25,12.58333333
2014-9-26,17.16666667
2014-9-27,10
2014-9-28,12.41666667
2014-9-29,2.708333333
2014-9-30,5.375
2014-10-1,4.75
2014-10-2,6.375
2014-10-3,6.875
2014-10-4,7.333333333
2014-10-5,5.791666667
2014-10-6,9.666666667
2014-10-7,8.291666667
2014-10-8,11.66666667
2014-10-9,3.708333333
2014-10-10,9.833333333
2014-10-11,15.04166667
2014-10-12,4.041666667
2014-10-13,1.541666667
2014-10-14,5.916666667
2014-10-15,10.25
2014-10-16,2.666666667
2014-10-17,6.083333333
2014-10-18,14.33333333
2014-10-19,13.91666667
2014-10-20,-2.304347826
2014-10-21,-3.375
2014-10-22,3.041666667
2014-10-23,11.70833333
2014-10-24,9.666666667
2014-10-25,6.333333333
2014-10-26,-0.4166666667
2014-10-27,-4.25
2014-10-28,-0.1666666667
2014-10-29,5.666666667
2014-10-30,1.166666667
2014-10-31,2.333333333
2014-11-1,1.875
2014-11-2,-1.684210526
2014-11-3,-0.125
2014-11-4,7.666666667
2014-11-5,4.375
2014-11-6,-4.791666667
2014-11-7,-2.083333333
2014-11-8,0.7083333333
2014-11-9,1.5
2014-11-10,4.541666667
2014-11-11,0.75
2014-11-12,-7.333333333
2014-11-13,-9.416666667
2014-11-14,-8.5
2014-11-15,-5.958333333
2014-11-16,-6.333333333
2014-11-17,-5.708333333
2014-11-18,-3.583333333
2014-11-19,0.25
2014-11-20,2.826086957
2014-11-21,-3.666666667
2014-11-22,-5.833333333
2014-11-23,-3.666666667
2014-11-24,-9.333333333
2014-11-25,-3.5
2014-11-26,1.695652174
2014-11-27,-7.375
2014-11-28,-9.333333333
