date,Close,Volume,Open,High,Low
2024-03-20,353.25,657.0,359.0,360.75,352.75
2024-03-19,356.5,400.0,360.0,362.5,356.25
2024-03-18,358.5,421.0,366.25,366.5,358.0
2024-03-15,365.75,230.0,368.25,372.25,363.75
2024-03-14,371.5,317.0,372.25,376.75,368.5
2024-03-13,373.0,344.0,371.25,374.0,368.25
2024-03-12,372.75,458.0,371.25,374.0,367.5
2024-03-11,370.75,360.0,365.75,371.75,363.0
2024-03-08,362.75,247.0,359.0,366.0,358.5
2024-03-07,358.75,192.0,359.5,362.0,356.25
2024-03-06,356.5,350.0,362.0,362.0,356.0
2024-03-05,362.0,264.0,367.25,369.0,360.5
2024-03-04,368.5,218.0,370.75,372.5,364.25
2024-03-01,371.75,426.0,372.5,373.75,367.75
2024-02-29,371.0,275.0,368.5,372.5,365.0
2024-02-28,368.5,360.0,366.0,370.0,362.0
2024-02-27,366.0,355.0,366.25,370.0,362.0
2024-02-26,363.0,759.0,354.0,367.25,352.25
2024-02-23,354.0,798.0,352.25,358.5,348.5
2024-02-22,363.0,331.0,369.5,376.75,362.5
2024-02-21,370.25,457.0,379.0,379.75,367.75
2024-02-20,380.0,288.0,386.25,386.25,376.75
2024-02-16,383.25,609.0,380.25,389.5,379.5
2024-02-15,382.25,215.0,377.5,384.75,377.25
2024-02-14,382.0,234.0,383.25,383.25,374.25
2024-02-13,381.75,221.0,379.75,384.0,378.25
2024-02-12,378.25,245.0,379.75,383.5,373.5
2024-02-09,375.25,186.0,376.25,380.75,375.0
2024-02-08,378.75,425.0,381.0,384.25,372.0
2024-02-07,382.5,341.0,377.25,383.5,375.5
2024-02-06,378.0,396.0,366.75,381.0,366.25
2024-02-05,367.5,370.0,371.5,374.0,365.0
2024-02-02,371.75,385.0,384.0,384.0,369.0
2024-02-01,384.25,536.0,380.0,385.0,372.75
2024-01-31,382.5,733.0,377.0,384.5,374.75
2024-01-30,377.0,614.0,367.0,380.0,362.75
2024-01-29,365.25,232.0,364.5,368.75,361.0
2024-01-26,363.75,279.0,363.5,368.25,360.5
2024-01-25,364.5,196.0,368.0,370.25,359.75
2024-01-24,365.75,319.0,370.75,371.0,363.0
2024-01-23,370.25,267.0,376.0,379.0,365.75
2024-01-22,378.5,435.0,379.75,385.0,375.75
2024-01-19,379.75,497.0,367.0,384.0,365.25
2024-01-18,366.75,449.0,355.25,372.0,350.0
