date,tempC
2014-01-01,-17.958333333333332
2014-01-02,-17.875
2014-01-03,-23.875
2014-01-04,-24.541666666666668
2014-01-05,-19.875
2014-01-06,-11.125
2014-01-07,-15.958333333333334
2014-01-08,-21.25
2014-01-09,-21.333333333333332
2014-01-10,-19.208333333333332
2014-01-11,-20.75
2014-01-12,-26.791666666666668
2014-01-13,-27.875
2014-01-14,-20.0
2014-01-15,-19.708333333333332
2014-01-16,-27.291666666666668
2014-01-17,-22.375
2014-01-18,-22.708333333333332
2014-01-19,-16.916666666666668
2014-01-20,-18.833333333333332
2014-01-21,-17.625
2014-01-22,-14.75
2014-01-23,-5.125
2014-01-24,-16.0
2014-01-25,-16.875
2014-01-26,-14.875
2014-01-27,-12.708333333333334
2014-01-28,-16.75
2014-01-29,-11.791666666666666
2014-01-30,-20.375
2014-01-31,-19.625
2014-02-01,-9.541666666666666
2014-02-02,-14.291666666666666
2014-02-03,-22.625
2014-02-04,-25.0
2014-02-05,-20.916666666666668
2014-02-06,-21.5
2014-02-07,-15.875
2014-02-08,-19.041666666666668
2014-02-09,-22.25
2014-02-10,-19.583333333333332
2014-02-11,-18.958333333333332
2014-02-12,-21.75
2014-02-13,-18.0
2014-02-14,-11.541666666666666
2014-02-15,-17.25
2014-02-16,-19.0
2014-02-17,-18.416666666666668
2014-02-18,-17.041666666666668
2014-02-19,-20.291666666666668
2014-02-20,-16.583333333333332
2014-02-21,-14.791666666666666
2014-02-22,-14.875
2014-02-23,-11.0
2014-02-24,-6.625
2014-02-25,-1.9166666666666667
2014-02-26,1.875
2014-02-27,-7.125
2014-02-28,-8.208333333333334
2014-03-01,-9.916666666666666
2014-03-02,-10.0
2014-03-03,-8.818181818181818
2014-03-04,-9.956521739130435
2014-03-05,-11.958333333333334
2014-03-06,-11.5
2014-03-07,-9.875
2014-03-08,-8.333333333333334
2014-03-09,-7.166666666666667
2014-03-10,-2.4166666666666665
2014-03-11,-0.7916666666666666
2014-03-12,-3.4166666666666665
2014-03-13,-3.9166666666666665
2014-03-14,0.875
2014-03-15,0.2916666666666667
2014-03-16,1.7916666666666667
2014-03-17,-1.625
2014-03-18,0.375
2014-03-19,1.7916666666666667
2014-03-20,-0.08333333333333333
2014-03-21,2.625
2014-03-22,4.958333333333333
2014-03-23,6.75
2014-03-24,5.541666666666667
2014-03-25,6.291666666666667
2014-03-26,6.916666666666667
2014-03-27,11.208333333333334
2014-03-28,6.375
2014-03-29,5.708333333333333
2014-03-30,5.75
2014-03-31,5.833333333333333
2014-04-01,5.833333333333333
2014-04-02,1.875
2014-04-03,1.0
2014-04-04,0.9166666666666666
2014-04-05,1.2916666666666667
2014-04-06,6.166666666666667
2014-04-07,8.791666666666666
2014-04-08,13.125
2014-04-09,4.041666666666667
2014-04-10,5.958333333333333
2014-04-11,10.291666666666666
2014-04-12,10.916666666666666
2014-04-13,14.916666666666666
2014-04-14,14.666666666666666
2014-04-15,5.666666666666667
2014-04-16,4.708333333333333
2014-04-17,7.458333333333333
2014-04-18,5.625
2014-04-19,12.541666666666666
2014-04-20,7.666666666666667
2014-04-21,10.208333333333334
2014-04-22,12.458333333333334
2014-04-23,17.916666666666668
2014-04-24,18.583333333333332
2014-04-25,19.5
2014-04-26,10.458333333333334
2014-04-27,11.083333333333334
2014-04-28,12.916666666666666
2014-04-29,16.5
2014-04-30,22.05
2014-05-01,17.333333333333332
2014-05-02,4.333333333333333
2014-05-03,9.0
2014-05-04,4.333333333333333
2014-05-05,5.208333333333333
2014-05-06,8.25
2014-05-07,10.125
2014-05-08,8.833333333333334
2014-05-09,15.166666666666666
2014-05-10,16.625
2014-05-11,15.416666666666666
2014-05-12,11.083333333333334
2014-05-13,12.333333333333334
2014-05-14,11.833333333333334
2014-05-15,10.333333333333334
2014-05-16,11.375
2014-05-17,13.833333333333334
2014-05-18,14.291666666666666
2014-05-19,15.416666666666666
2014-05-20,13.791666666666666
2014-05-21,14.708333333333334
2014-05-22,19.375
2014-05-23,20.25
2014-05-24,19.541666666666668
2014-05-25,15.541666666666666
2014-05-26,14.333333333333334
2014-05-27,17.708333333333332
2014-05-28,17.875
2014-05-29,16.583333333333332
2014-05-30,23.666666666666668
2014-05-31,28.791666666666668
2014-06-01,28.083333333333332
2014-06-02,27.666666666666668
2014-06-03,25.416666666666668
2014-06-04,27.208333333333332
2014-06-05,22.875
2014-06-06,19.25
2014-06-07,18.166666666666668
2014-06-08,19.25
2014-06-09,20.666666666666668
2014-06-10,19.291666666666668
2014-06-11,20.166666666666668
2014-06-12,20.5
2014-06-13,22.916666666666668
2014-06-14,23.083333333333332
2014-06-15,22.166666666666668
2014-06-16,22.0
2014-06-17,20.083333333333332
2014-06-18,20.208333333333332
2014-06-19,21.0
2014-06-20,23.375
2014-06-21,23.375
2014-06-22,24.416666666666668
2014-06-23,25.25
2014-06-24,25.625
2014-06-25,26.583333333333332
2014-06-26,20.416666666666668
2014-06-27,20.208333333333332
2014-06-28,22.833333333333332
2014-06-29,25.375
2014-06-30,25.541666666666668
2014-07-01,26.208333333333332
2014-07-02,25.625
2014-07-03,25.625
2014-07-04,23.458333333333332
2014-07-05,26.458333333333332
2014-07-06,21.333333333333332
2014-07-07,24.208333333333332
2014-07-08,21.625
2014-07-09,22.125
2014-07-10,19.916666666666668
2014-07-11,20.375
2014-07-12,20.416666666666668
2014-07-13,19.0
2014-07-14,21.916666666666668
2014-07-15,19.416666666666668
2014-07-16,22.041666666666668
2014-07-17,21.333333333333332
2014-07-18,23.041666666666668
2014-07-19,25.625
