date,relh
2014-01-01,72.36
2014-01-02,66.31416666666667
2014-01-03,70.03083333333333
2014-01-04,80.1896
2014-01-05,72.62047619047618
2014-01-06,75.69279999999999
2014-01-07,76.90583333333333
2014-01-08,73.44576923076923
2014-01-09,78.43071428571429
2014-01-10,75.85923076923076
2014-01-11,78.92375
2014-01-12,81.99
2014-01-13,77.00318181818182
2014-01-14,80.83076923076922
2014-01-15,76.48320000000001
2014-01-16,71.53166666666667
2014-01-17,74.07807692307692
2014-01-18,75.88041666666668
2014-01-19,75.5616
2014-01-20,80.4548
2014-01-21,85.206
2014-01-22,83.29666666666665
2014-01-23,78.38666666666667
2014-01-24,75.89708333333333
2014-01-25,76.74961538461538
2014-01-26,81.00206896551724
2014-01-27,66.42333333333333
2014-01-28,68.17166666666667
2014-01-29,73.10520000000001
2014-01-30,72.175
2014-01-31,75.66416666666667
2014-02-01,75.23037037037037
2014-02-02,72.63958333333333
2014-02-03,76.11041666666667
2014-02-04,82.84416666666667
2014-02-05,71.0048
2014-02-06,73.5773076923077
2014-02-07,72.10269230769231
2014-02-08,71.50083333333333
2014-02-09,66.23208333333334
2014-02-10,71.36708333333333
2014-02-11,76.065
2014-02-12,74.81708333333334
2014-02-13,81.35291666666667
2014-02-14,77.15192307692308
2014-02-15,80.5068
2014-02-16,83.09074074074073
2014-02-17,85.99565217391304
2014-02-18,82.94
2014-02-19,85.71692307692307
2014-02-20,83.95880000000001
2014-02-21,80.08208333333333
2014-02-22,83.7196551724138
2014-02-23,86.13310344827586
2014-02-24,79.8525
2014-02-25,74.74624999999999
2014-02-26,75.39625
2014-02-27,79.12208333333334
2014-02-28,79.22192307692308
2014-03-01,80.915
2014-03-02,76.56
2014-03-03,77.39666666666666
2014-03-04,74.4392
2014-03-05,81.60857142857142
2014-03-06,74.61208333333333
2014-03-07,77.04
2014-03-08,73.07208333333334
2014-03-09,74.87416666666667
2014-03-10,72.34576923076924
2014-03-11,76.28458333333333
2014-03-12,73.56375
2014-03-13,79.09241379310345
2014-03-14,75.2788
2014-03-15,74.1348
2014-03-16,71.8425
2014-03-17,70.49624999999999
2014-03-18,70.23708333333333
2014-03-19,74.59375
2014-03-20,78.52321428571429
2014-03-21,78.13347826086957
2014-03-22,82.48440000000001
2014-03-23,81.2184
2014-03-24,81.6612
2014-03-25,82.12153846153845
2014-03-26,79.96296296296296
2014-03-27,83.07285714285715
2014-03-28,78.13000000000001
2014-03-29,73.9325
2014-03-30,81.8726923076923
2014-03-31,81.03583333333333
2014-04-01,78.99692307692308
2014-04-02,84.23466666666667
2014-04-03,79.24296296296296
2014-04-04,73.47217391304348
2014-04-05,75.5052
2014-04-06,72.99625
2014-04-07,73.6825
2014-04-08,69.36749999999999
2014-04-09,75.7695652173913
2014-04-10,76.70479999999999
2014-04-11,78.17375
2014-04-12,83.4144
2014-04-13,83.96249999999999
2014-04-14,87.60533333333335
2014-04-15,82.2228
2014-04-16,77.39791666666666
2014-04-17,83.89041666666667
2014-04-18,79.7408
2014-04-19,77.06458333333333
2014-04-20,78.01615384615386
2014-04-21,78.95214285714285
2014-04-22,85.12750000000001
2014-04-23,85.82958333333335
2014-04-24,80.59037037037037
2014-04-25,76.19083333333333
2014-04-26,73.64416666666666
2014-04-27,73.00458333333334
2014-04-28,72.99541666666667
2014-04-29,68.92208333333333
2014-04-30,64.39458333333333
2014-05-01,65.09708333333333
2014-05-02,68.30624999999999
2014-05-03,67.34541666666667
2014-05-04,66.76375
2014-05-05,65.95958333333333
2014-05-06,77.04520000000001
2014-05-07,81.68481481481483
2014-05-08,82.72125
2014-05-09,81.13807692307692
2014-05-10,73.62916666666668
2014-05-11,71.73083333333334
2014-05-12,72.80916666666667
2014-05-13,72.72500000000001
2014-05-14,78.2176
2014-05-15,79.1124
2014-05-16,77.1584
2014-05-17,81.9104
2014-05-18,79.68791666666667
2014-05-19,79.605
2014-05-20,76.51791666666666
2014-05-21,71.155
2014-05-22,69.86874999999999
2014-05-23,87.37703703703704
2014-05-24,84.16680000000001
2014-05-25,83.6468
2014-05-26,84.3223076923077
2014-05-27,77.37458333333333
2014-05-28,75.50875
2014-05-29,73.495
2014-05-30,65.57958333333333
2014-05-31,63.867916666666666
2014-06-01,80.01703703703704
2014-06-02,85.37607142857144
2014-06-03,79.8517391304348
2014-06-04,74.14458333333333
2014-06-05,68.82916666666667
2014-06-06,67.70166666666667
2014-06-07,65.31583333333333
2014-06-08,61.61166666666667
2014-06-09,74.535
2014-06-10,74.6844
2014-06-11,69.87961538461539
2014-06-12,61.774800000000006
2014-06-13,61.10666666666666
2014-06-14,70.22458333333334
2014-06-15,81.86840000000001
2014-06-16,79.2868
2014-06-17,80.15360000000001
2014-06-18,75.55875
2014-06-19,75.85541666666667
2014-06-20,80.34708333333334
2014-06-21,76.60458333333334
2014-06-22,66.68083333333333
2014-06-23,55.7175
2014-06-24,58.05833333333334
2014-06-25,63.55458333333333
2014-06-26,65.15708333333333
2014-06-27,63.46083333333333
2014-06-28,76.93576923076922
2014-06-29,78.30791666666667
2014-06-30,74.33583333333333
2014-07-01,68.96458333333334
2014-07-02,62.35875000000001
2014-07-03,59.44833333333333
2014-07-04,56.77565217391304
2014-07-05,49.71333333333333
2014-07-06,52.01125
2014-07-07,77.7075
2014-07-08,81.68833333333333
2014-07-09,77.4
2014-07-10,83.13538461538461
2014-07-11,77.63560000000001
2014-07-12,72.53375
2014-07-13,59.112500000000004
2014-07-14,56.262499999999996
2014-07-15,55.23666666666667
2014-07-16,55.36041666666666
