date,IOWA_Temp_tempC,IOWA_Humidity_relh,IL_Temp_tempC,IL_Humidity_relh
2017-02-26,-1.594932735426009,74.92089686098655,0.3654166666666668,55.14958333333333
2017-02-27,0.1499563318777292,82.56506550218342,6.041666666666667,65.839375
2017-02-28,5.803392857142858,85.4889732142857,13.377916666666668,82.53277777777777
2017-03-01,1.802832618025751,88.9106008583691,10.38103896103896,82.0312987012987
2017-03-02,-2.141127450980392,75.28411764705882,1.3551724137931034,68.49344827586206
2017-03-03,-3.656542056074767,68.48957943925234,-0.913191489361702,59.21787234042554
2017-03-04,2.60963133640553,63.67852534562212,5.26872340425532,50.64
2017-03-05,7.913835616438357,72.93680365296804,9.950769230769229,59.87442307692307
2017-03-06,15.108355555555557,77.43391111111112,12.64265625,81.9634375
2017-03-07,7.386456310679611,63.33699029126213,12.521805555555556,71.41698412698413
2017-03-08,4.496119402985075,46.557960199004974,8.321875,43.72541666666667
2017-03-09,1.460568181818182,63.95335227272728,6.837291666666666,49.46604166666666
2017-03-10,-4.725885714285714,53.09485714285714,1.6877083333333334,49.29645833333333
2017-03-11,-5.1605389221556885,39.36479041916168,-1.3045833333333332,35.98041666666666
2017-03-12,-5.385053191489361,57.34212765957447,-0.6864583333333333,39.16416666666667
2017-03-13,-4.10593137254902,84.87117647058824,-0.7559999999999999,84.4127
2017-03-14,-9.063511904761905,69.60636904761905,-3.562345679012346,80.27432098765432
2017-03-15,-11.710581395348838,73.75081395348838,-5.384791666666668,58.07833333333334
2017-03-16,-2.115325443786982,67.30355029585799,-1.105625,61.65708333333333
2017-03-17,4.42874251497006,76.58353293413174,7.466891891891891,73.80851351351352
2017-03-18,3.006860465116279,73.90755813953488,5.713518518518519,64.2262962962963
2017-03-19,5.508411764705882,71.91270588235294,5.226041666666666,68.68354166666667
2017-03-20,10.61144578313253,64.14999999999999,12.173636363636362,63.25454545454546
2017-03-21,5.619724137931034,60.954482758620685,8.378571428571428,70.64204081632653
2017-03-22,0.4078947368421052,57.909263157894735,2.247368421052632,61.69894736842105
2017-03-23,4.0200000000000005,60.34490566037736,3.38,64.0904
2017-03-24,7.519400000000001,83.12100000000001,15.312291666666669,65.04354166666667
2017-03-25,4.289714285714286,93.05523809523808,14.837444444444444,85.95233333333333
2017-03-26,4.980480000000001,94.68072,12.985802469135802,89.89234567901234
2017-03-27,7.036277372262774,87.10182481751825,10.21,92.7032
2017-03-28,9.02093567251462,79.8638596491228,9.893023255813953,87.28523255813953
2017-03-29,6.043785310734464,88.51949152542373,8.6525,83.84566666666666
2017-03-30,4.815333333333333,91.67572222222223,11.944444444444445,92.63931623931624
2017-03-31,4.488784530386741,85.24182320441989,7.485543478260869,92.67402173913044
2017-04-01,5.575257142857143,77.53211428571429,7.233061224489796,74.96714285714286
2017-04-02,8.40094674556213,83.81822485207101,10.798125,73.05
2017-04-03,8.708579545454546,94.27255681818184,14.211486486486487,84.24243243243244
2017-04-04,9.666923076923077,84.442,12.032028985507248,86.00420289855073
2017-04-05,8.548823529411765,70.84347058823529,8.875,90.448125
2017-04-06,7.010670731707317,61.635792682926834,6.9590000000000005,75.39699999999999
2017-04-07,6.074431137724551,54.53053892215569,7.91,52.78083333333333
2017-04-08,13.291130952380952,49.98684523809524,11.879787234042556,54.18148936170213
2017-04-09,18.673809523809524,68.20380952380953,17.847291666666667,58.19708333333333
2017-04-10,13.962833333333332,77.09,19.311774193548384,67.69999999999999
2017-04-11,7.263259668508287,73.63232044198895,12.169411764705885,67.77372549019609
2017-04-12,10.66095238095238,58.11083333333334,11.874166666666667,64.61145833333333
2017-04-13,13.01943661971831,78.72521126760563,17.106666666666666,57.86083333333334
2017-04-14,13.40245283018868,83.90735849056604,19.206507936507936,70.02174603174603
2017-04-15,18.874950495049504,75.59435643564356,21.86375,60.74125
2017-04-16,15.789495798319328,63.78394957983193,18.758,73.23076923076923
2017-04-17,14.55482142857143,52.12113095238095,16.392244897959184,50.47632653061225
2017-04-18,14.56547619047619,69.92446428571428,17.11854166666667,54.14895833333333
2017-04-19,12.318352272727276,83.22034090909091,20.941739130434783,71.415
2017-04-20,12.252929292929291,82.59929292929293,21.714426229508195,67.916
2017-04-21,8.717529411764707,73.39417647058823,11.238867924528302,62.84981132075472
2017-04-22,11.785059523809524,52.53744047619048,10.914166666666668,55.1175
2017-04-23,14.071607142857143,43.18327380952381,12.511458333333332,44.158125000000005
2017-04-24,15.692678571428573,38.71184523809524,15.959791666666668,34.485416666666666
2017-04-25,16.080727272727273,48.28278787878788,18.64583333333333,44.045625
2017-04-26,9.781369047619048,81.92309523809524,19.45017543859649,68.17368421052632
2017-04-27,3.482390243902439,77.86131707317072,11.4084375,86.88614457831325
2017-04-28,3.0419246861924685,78.13271966527198,11.5444,86.31620000000001
2017-04-29,5.921139240506329,76.40240506329114,10.451048387096774,93.06435483870968
2017-04-30,5.299751037344398,85.6451867219917,11.1705,95.0183
2017-05-01,5.958872180451127,91.01684210526317,13.253188405797102,78.17434782608696
2017-05-02,8.250836653386454,69.4398406374502,9.279833333333332,71.87966666666667
2017-05-03,10.41661087866109,59.09046218487395,8.72877551020408,75.84020408163265
2017-05-04,12.025527426160338,57.78523206751055,8.706911764705882,86.31
2017-05-05,15.021302521008405,47.0168487394958,11.35936170212766,61.97914893617021
2017-05-06,16.450416666666666,46.789791666666666,12.6602,67.25880000000001
2017-05-07,14.785708333333334,47.624,12.225102040816326,59.94632653061224
2017-05-08,17.656008403361344,50.40357142857143,13.506875,61.345625000000005
2017-05-09,18.89381147540984,66.8525,19.71686274509804,68.8578431372549
2017-05-10,16.43808429118774,81.47099616858237,20.17,75.67714285714285
2017-05-11,14.525992217898832,77.20229571984436,16.31747663551402,91.88345794392524
2017-05-12,15.43195020746888,51.08410788381743,16.029791666666664,71.31125
2017-05-13,19.88605042016807,46.22798319327731,18.611666666666668,60.281666666666666
2017-05-14,21.257615062761506,51.93912133891214,22.186875,52.080625
2017-05-15,23.442904564315352,62.33186721991701,22.256666666666664,60.26875
2017-05-16,24.33933884297521,63.42338842975207,24.21375,60.68595744680851
2017-05-17,20.10898113207547,81.09452830188678,24.66730769230769,60.82942307692308
