date,relh
2014-01-01,82.89875
2014-01-02,76.32125
2014-01-03,77.85458333333334
2014-01-04,76.54458333333334
2014-01-05,73.6625
2014-01-06,75.61583333333333
2014-01-07,73.02875
2014-01-08,63.115
2014-01-09,66.51458333333333
2014-01-10,69.15041666666666
2014-01-11,69.45208333333333
2014-01-12,63.40958333333333
2014-01-13,65.26541666666667
2014-01-14,68.09708333333333
2014-01-15,72.98583333333333
2014-01-16,69.28041666666667
2014-01-17,72.6375
2014-01-18,76.46916666666667
2014-01-19,74.14041666666667
2014-01-20,75.03166666666667
2014-01-21,78.29708333333333
2014-01-22,79.89
2014-01-23,76.69166666666666
2014-01-24,77.88666666666667
2014-01-25,71.15166666666667
2014-01-26,61.88791666666666
2014-01-27,60.08625
2014-01-28,59.28708333333333
2014-01-29,71.78708333333334
2014-01-30,76.3225
2014-01-31,72.55291666666666
2014-02-01,69.67375
2014-02-02,49.86000000000001
2014-02-03,53.55833333333334
2014-02-04,60.66708333333333
2014-02-05,63.92124999999999
2014-02-06,72.45125
2014-02-07,73.06041666666667
2014-02-08,70.29583333333333
2014-02-09,61.11083333333334
2014-02-10,71.08375
2014-02-11,69.34125
2014-02-12,69.30291666666666
2014-02-13,64.97791666666667
2014-02-14,75.06333333333333
2014-02-15,82.59750000000001
2014-02-16,79.54875
2014-02-17,75.45833333333333
2014-02-18,69.09
2014-02-19,65.5825
2014-02-20,65.36874999999999
2014-02-21,65.51666666666667
2014-02-22,70.22250000000001
2014-02-23,70.35291666666667
2014-02-24,80.50416666666666
2014-02-25,91.02125000000001
2014-02-26,77.77208333333333
2014-02-27,67.30083333333333
2014-02-28,60.481249999999996
2014-03-01,66.41708333333334
2014-03-02,60.60458333333333
2014-03-03,60.325
2014-03-04,63.296521739130434
2014-03-05,61.42291666666667
2014-03-06,55.089166666666664
2014-03-07,48.312916666666666
2014-03-08,47.05625
2014-03-09,64.18833333333333
2014-03-10,56.420416666666675
2014-03-11,70.50875
2014-03-12,73.28833333333334
2014-03-13,65.56625
2014-03-14,56.65375
2014-03-15,62.72083333333333
2014-03-16,57.11208333333334
2014-03-17,88.94833333333332
2014-03-18,65.36583333333333
2014-03-19,67.57041666666667
2014-03-20,65.35458333333334
2014-03-21,55.776250000000005
2014-03-22,58.83166666666667
2014-03-23,49.65291666666667
2014-03-24,63.945
2014-03-25,64.00083333333333
2014-03-26,61.17458333333334
2014-03-27,56.71666666666667
2014-03-28,62.10833333333333
2014-03-29,49.89291666666667
2014-03-30,54.1475
2014-03-31,41.805416666666666
2014-04-01,53.992916666666666
2014-04-02,51.385416666666664
2014-04-03,51.385416666666664
2014-04-04,65.92999999999999
2014-04-05,50.33416666666667
2014-04-06,49.623333333333335
2014-04-07,38.901666666666664
2014-04-08,39.30833333333333
2014-04-09,43.627916666666664
2014-04-10,43.51166666666666
2014-04-11,33.744166666666665
2014-04-12,36.03041666666667
2014-04-13,27.240416666666665
2014-04-14,32.780833333333334
2014-04-15,32.373333333333335
2014-04-16,41.397083333333335
2014-04-17,33.73291666666667
2014-04-18,46.850833333333334
2014-04-19,29.385
2014-04-20,78.92708333333333
2014-04-21,52.76083333333333
2014-04-22,35.365833333333335
2014-04-23,37.00541666666667
2014-04-24,39.541666666666664
2014-04-25,36.04541666666667
2014-04-26,50.55083333333334
2014-04-27,45.08833333333333
2014-04-28,38.71083333333333
2014-04-29,28.74
2014-04-30,19.899
2014-05-01,26.672083333333333
2014-05-02,76.75958333333334
2014-05-03,46.0032
2014-05-04,85.19041666666666
2014-05-05,80.24958333333333
2014-05-06,72.12041666666667
2014-05-07,72.77541666666666
2014-05-08,71.10791666666667
2014-05-09,42.937083333333334
2014-05-10,46.19916666666666
2014-05-11,69.02374999999999
2014-05-12,95.00708333333334
2014-05-13,80.69041666666666
2014-05-14,89.84625
2014-05-15,91.1075
2014-05-16,84.9975
2014-05-17,77.01916666666666
2014-05-18,84.95666666666666
2014-05-19,83.51166666666667
2014-05-20,95.36791666666666
2014-05-21,86.50458333333334
2014-05-22,64.79416666666667
2014-05-23,56.75625
2014-05-24,59.10333333333333
2014-05-25,85.47583333333334
2014-05-26,74.98708333333333
2014-05-27,62.97833333333333
2014-05-28,45.90208333333334
2014-05-29,56.9175
2014-05-30,33.75666666666667
2014-05-31,38.3425
2014-06-01,44.895
2014-06-02,41.26708333333333
2014-06-03,57.75458333333333
2014-06-04,42.53541666666667
2014-06-05,72.83083333333333
2014-06-06,67.22125
2014-06-07,85.57083333333333
2014-06-08,81.59083333333334
2014-06-09,78.26166666666667
2014-06-10,91.0625
2014-06-11,83.72833333333334
2014-06-12,66.42833333333333
2014-06-13,50.44375
2014-06-14,60.805416666666666
2014-06-15,60.40541666666667
2014-06-16,63.67333333333334
2014-06-17,68.96416666666667
2014-06-18,68.3
2014-06-19,61.95250000000001
2014-06-20,56.73
2014-06-21,59.9025
2014-06-22,55.307500000000005
2014-06-23,51.80291666666667
2014-06-24,58.99125
2014-06-25,53.58833333333333
2014-06-26,87.19666666666666
2014-06-27,92.27375
2014-06-28,80.61375
2014-06-29,68.32625
2014-06-30,73.34125
2014-07-01,71.99833333333333
2014-07-02,72.56333333333333
2014-07-03,70.05208333333333
2014-07-04,76.15208333333334
2014-07-05,68.88875
2014-07-06,86.27291666666667
2014-07-07,65.965
2014-07-08,74.32958333333333
2014-07-09,68.55541666666666
2014-07-10,90.06333333333333
2014-07-11,87.31416666666667
2014-07-12,89.92958333333333
2014-07-13,89.03208333333333
2014-07-14,74.42083333333333
2014-07-15,91.94583333333333
