date,CH_Temp_tempC_x,BR_Humidity_relh_x,CH_Temp_tempC_y,BR_Humidity_relh_y
2014-01-01,-17.958333333333332,72.36,-17.958333333333332,72.36
2014-01-02,-17.875,66.31416666666667,-17.875,66.31416666666667
2014-01-03,-23.875,70.03083333333333,-23.875,70.03083333333333
2014-01-04,-24.541666666666668,80.1896,-24.541666666666668,80.1896
2014-01-05,-19.875,72.62047619047618,-19.875,72.62047619047618
2014-01-06,-11.125,75.69279999999999,-11.125,75.69279999999999
2014-01-07,-15.958333333333334,76.90583333333333,-15.958333333333334,76.90583333333333
2014-01-08,-21.25,73.44576923076923,-21.25,73.44576923076923
2014-01-09,-21.33333333333333,78.43071428571429,-21.33333333333333,78.43071428571429
2014-01-10,-19.20833333333333,75.85923076923076,-19.20833333333333,75.85923076923076
2014-01-11,-20.75,78.92375,-20.75,78.92375
2014-01-12,-26.791666666666668,81.99,-26.791666666666668,81.99
2014-01-13,-27.875,77.00318181818182,-27.875,77.00318181818182
2014-01-14,-20.0,80.83076923076922,-20.0,80.83076923076922
2014-01-15,-19.70833333333333,76.48320000000001,-19.70833333333333,76.48320000000001
2014-01-16,-27.291666666666668,71.53166666666667,-27.291666666666668,71.53166666666667
2014-01-17,-22.375,74.07807692307692,-22.375,74.07807692307692
2014-01-18,-22.70833333333333,75.88041666666668,-22.70833333333333,75.88041666666668
2014-01-19,-16.916666666666668,75.5616,-16.916666666666668,75.5616
2014-01-20,-18.83333333333333,80.4548,-18.83333333333333,80.4548
2014-01-21,-17.625,85.206,-17.625,85.206
2014-01-22,-14.75,83.29666666666665,-14.75,83.29666666666665
2014-01-23,-5.125,78.38666666666667,-5.125,78.38666666666667
2014-01-24,-16.0,75.89708333333333,-16.0,75.89708333333333
2014-01-25,-16.875,76.74961538461538,-16.875,76.74961538461538
2014-01-26,-14.875,81.00206896551724,-14.875,81.00206896551724
2014-01-27,-12.708333333333334,66.42333333333333,-12.708333333333334,66.42333333333333
2014-01-28,-16.75,68.17166666666667,-16.75,68.17166666666667
2014-01-29,-11.791666666666666,73.10520000000001,-11.791666666666666,73.10520000000001
2014-01-30,-20.375,72.175,-20.375,72.175
2014-01-31,-19.625,75.66416666666667,-19.625,75.66416666666667
2014-02-01,-9.541666666666666,75.23037037037037,-9.541666666666666,75.23037037037037
2014-02-02,-14.291666666666666,72.63958333333333,-14.291666666666666,72.63958333333333
2014-02-03,-22.625,76.11041666666667,-22.625,76.11041666666667
2014-02-04,-25.0,82.84416666666667,-25.0,82.84416666666667
2014-02-05,-20.916666666666668,71.0048,-20.916666666666668,71.0048
2014-02-06,-21.5,73.5773076923077,-21.5,73.5773076923077
2014-02-07,-15.875,72.10269230769231,-15.875,72.10269230769231
2014-02-08,-19.041666666666668,71.50083333333333,-19.041666666666668,71.50083333333333
2014-02-09,-22.25,66.23208333333334,-22.25,66.23208333333334
2014-02-10,-19.58333333333333,71.36708333333333,-19.58333333333333,71.36708333333333
2014-02-11,-18.95833333333333,76.065,-18.95833333333333,76.065
2014-02-12,-21.75,74.81708333333334,-21.75,74.81708333333334
2014-02-13,-18.0,81.35291666666667,-18.0,81.35291666666667
2014-02-14,-11.541666666666666,77.15192307692308,-11.541666666666666,77.15192307692308
2014-02-15,-17.25,80.5068,-17.25,80.5068
2014-02-16,-19.0,83.09074074074073,-19.0,83.09074074074073
2014-02-17,-18.416666666666668,85.99565217391304,-18.416666666666668,85.99565217391304
2014-02-18,-17.041666666666668,82.94,-17.041666666666668,82.94
2014-02-19,-20.291666666666668,85.71692307692307,-20.291666666666668,85.71692307692307
2014-02-20,-16.583333333333332,83.95880000000001,-16.583333333333332,83.95880000000001
2014-02-21,-14.791666666666666,80.08208333333333,-14.791666666666666,80.08208333333333
2014-02-22,-14.875,83.7196551724138,-14.875,83.7196551724138
2014-02-23,-11.0,86.13310344827586,-11.0,86.13310344827586
2014-02-24,-6.625,79.8525,-6.625,79.8525
2014-02-25,-1.9166666666666667,74.74624999999999,-1.9166666666666667,74.74624999999999
2014-02-26,1.875,75.39625,1.875,75.39625
2014-02-27,-7.125,79.12208333333334,-7.125,79.12208333333334
2014-02-28,-8.208333333333334,79.22192307692308,-8.208333333333334,79.22192307692308
2014-03-01,-9.916666666666666,80.915,-9.916666666666666,80.915
2014-03-02,-10.0,76.56,-10.0,76.56
2014-03-03,-8.818181818181818,77.39666666666666,-8.818181818181818,77.39666666666666
2014-03-04,-9.956521739130435,74.4392,-9.956521739130435,74.4392
2014-03-05,-11.958333333333334,81.60857142857142,-11.958333333333334,81.60857142857142
2014-03-06,-11.5,74.61208333333333,-11.5,74.61208333333333
2014-03-07,-9.875,77.04,-9.875,77.04
2014-03-08,-8.333333333333334,73.07208333333334,-8.333333333333334,73.07208333333334
2014-03-09,-7.166666666666667,74.87416666666667,-7.166666666666667,74.87416666666667
2014-03-10,-2.4166666666666665,72.34576923076924,-2.4166666666666665,72.34576923076924
2014-03-11,-0.7916666666666666,76.28458333333333,-0.7916666666666666,76.28458333333333
2014-03-12,-3.4166666666666665,73.56375,-3.4166666666666665,73.56375
2014-03-13,-3.9166666666666665,79.09241379310345,-3.9166666666666665,79.09241379310345
2014-03-14,0.875,75.2788,0.875,75.2788
2014-03-15,0.2916666666666667,74.1348,0.2916666666666667,74.1348
2014-03-16,1.7916666666666667,71.8425,1.7916666666666667,71.8425
2014-03-17,-1.625,70.49624999999999,-1.625,70.49624999999999
2014-03-18,0.375,70.23708333333333,0.375,70.23708333333333
2014-03-19,1.7916666666666667,74.59375,1.7916666666666667,74.59375
