date,tempC
2014-01-01,-15.465294117647058
2014-01-02,-16.092636815920397
2014-01-03,-17.306428571428572
2014-01-04,-5.161155555555555
2014-01-05,-16.125742574257426
2014-01-06,-24.357767441860464
2014-01-07,-18.56035
2014-01-08,-15.834438502673796
2014-01-09,-15.391724137931034
2014-01-10,-3.5184037558685444
2014-01-11,-1.9776470588235295
2014-01-12,-0.9636199095022625
2014-01-13,1.4984117647058823
2014-01-14,-1.5078333333333336
2014-01-15,-9.912267441860466
2014-01-16,-2.7276836158192093
2014-01-17,-12.851734104046242
2014-01-18,-7.954922279792746
2014-01-19,-3.5479289940828402
2014-01-20,-0.5053513513513515
2014-01-21,-16.413595505617977
2014-01-22,-12.575916230366492
2014-01-23,-20.41474285714286
2014-01-24,-10.409411764705881
2014-01-25,-4.867348066298343
2014-01-26,-4.508592964824121
2014-01-27,-18.73278606965174
2014-01-28,-19.283690476190475
2014-01-29,-12.167485380116958
2014-01-30,-2.7031578947368424
2014-01-31,-14.353809523809524
2014-02-01,-10.959540816326532
2014-02-02,-16.086117647058824
2014-02-03,-14.658520710059172
2014-02-04,-9.149428571428572
2014-02-05,-14.5651
2014-02-06,-19.244999999999997
2014-02-07,-17.29233532934132
2014-02-08,-12.111855670103091
2014-02-09,-16.544942528735632
2014-02-10,-21.03375
2014-02-11,-22.10241176470588
2014-02-12,-9.663989898989898
2014-02-13,-6.359565217391305
2014-02-14,-11.243202247191011
2014-02-15,-13.695337078651685
2014-02-16,-7.142742857142857
2014-02-17,-3.9537433155080217
2014-02-18,0.1576785714285714
2014-02-19,0.499367816091954
2014-02-20,1.3957272727272727
2014-02-21,-4.970909090909091
2014-02-22,-8.314610778443113
2014-02-23,-12.317988505747126
2014-02-24,-12.993475609756096
2014-02-25,-14.119281767955801
2014-02-26,-17.208562874251495
2014-02-27,-16.519069767441863
2014-02-28,-14.878197674418606
2014-03-01,-13.120926829268292
2014-03-02,-20.361520467836257
2014-03-03,-20.44748502994012
2014-03-04,-11.584213483146065
2014-03-05,-6.95080459770115
2014-03-06,-6.665964912280702
2014-03-07,-0.7887356321839081
2014-03-08,-3.1034831460674157
2014-03-09,-3.527425149700599
2014-03-10,5.181666666666667
2014-03-11,3.302142857142857
2014-03-12,-0.8901176470588235
2014-03-13,2.326845238095238
2014-03-14,5.4981437125748505
2014-03-15,0.4225287356321839
2014-03-16,-4.083463687150838
2014-03-17,-2.1937869822485205
2014-03-18,2.8369879518072287
2014-03-19,1.479388888888889
2014-03-20,2.0260655737704916
2014-03-21,3.8040236686390534
2014-03-22,-3.2403508771929825
2014-03-23,-5.7564534883720935
2014-03-24,-2.934948979591837
2014-03-25,-5.446094674556213
2014-03-26,-2.2038690476190474
2014-03-27,5.352972972972973
2014-03-28,1.434254143646409
2014-03-29,2.5112426035502957
2014-03-30,7.487633136094675
2014-03-31,11.706726190476191
2014-04-01,-0.020842696629213477
2014-04-02,2.756593886462882
2014-04-03,3.959957446808511
2014-04-04,1.4935227272727274
2014-04-05,2.7973949579831934
2014-04-06,7.478888888888888
2014-04-07,8.443106382978725
2014-04-08,6.7520338983050845
2014-04-09,7.808647540983606
2014-04-10,13.012236842105263
2014-04-11,11.856425531914894
2014-04-12,16.39987394957983
2014-04-13,8.956336996336995
2014-04-14,0.6854054054054054
2014-04-15,-1.1045338983050847
2014-04-16,4.292365591397849
2014-04-17,4.609415584415585
2014-04-18,5.122809917355372
2014-04-19,12.399208333333332
2014-04-20,18.533333333333335
2014-04-21,16.68611111111111
2014-04-22,9.8835
2014-04-23,8.56397489539749
2014-04-24,8.180546875
2014-04-25,10.819233870967743
2014-04-26,12.686255319148936
2014-04-27,9.815892116182573
2014-04-28,9.923632653061224
2014-04-29,6.567137096774194
2014-04-30,3.0752255639097745
2014-05-01,5.744262948207171
2014-05-02,9.741570247933884
2014-05-03,11.35623430962343
2014-05-04,9.53205020920502
2014-05-05,12.447478991596638
2014-05-06,13.770292887029289
2014-05-07,19.598535564853556
2014-05-08,22.820376569037656
2014-05-09,13.851133603238866
2014-05-10,13.583012552301255
2014-05-11,15.080816326530613
2014-05-12,17.872439999999997
2014-05-13,9.723694779116466
2014-05-14,9.134583333333333
2014-05-15,7.458048780487805
2014-05-16,6.017531380753138
2014-05-17,9.697037037037038
2014-05-18,14.352573839662448
2014-05-19,16.216962025316455
2014-05-20,21.996541666666666
2014-05-21,20.737041666666666
2014-05-22,16.90612765957447
2014-05-23,18.262761506276153
2014-05-24,18.47327731092437
2014-05-25,18.536597510373443
2014-05-26,21.290669456066947
2014-05-27,21.117314049586778
2014-05-28,20.049955156950674
2014-05-29,22.165000000000003
2014-05-30,24.22447916666667
2014-05-31,24.15353535353535
2014-06-01,24.43104166666667
2014-06-02,22.675584415584414
2014-06-03,19.674915254237288
2014-06-04,18.979657794676804
2014-06-05,18.25076595744681
2014-06-06,20.936141078838173
2014-06-07,20.69857723577236
2014-06-08,17.331341463414635
2014-06-09,18.20504273504274
2014-06-10,19.55395744680851
2014-06-11,19.80404347826087
2014-06-12,20.666823529411765
2014-06-13,17.015833333333333
2014-06-14,19.75414201183432
2014-06-15,22.96708333333333
2014-06-16,22.304437869822483
2014-06-17,20.839567567567567
2014-06-18,24.444999999999997
2014-06-19,21.896512820512818
2014-06-20,21.979363295880148
2014-06-21,24.599957264957265
2014-06-22,21.403347107438016
2014-06-23,20.679115384615383
2014-06-24,21.893063829787234
2014-06-25,22.41759776536313
2014-06-26,22.498358974358975
2014-06-27,21.502408163265308
2014-06-28,23.458709677419357
2014-06-29,20.57531746031746
