Date, Open, High, Low, Close
12/08/23, 7.1505, 7.1672, 7.1262, 7.1631
12/07/23, 7.1456, 7.1509, 7.1283, 7.1504
12/06/23, 7.1467, 7.1470, 7.1456, 7.1456
12/05/23, 7.1362, 7.1473, 7.1165, 7.1466
12/04/23, 7.1240, 7.1376, 7.1240, 7.1362
12/01/23, 7.1289, 7.1289, 7.1149, 7.1240
11/30/23, 7.1334, 7.1386, 7.1266, 7.1289
11/29/23, 7.1334, 7.1334, 7.1334, 7.1334
11/28/23, 7.1317, 7.1369, 7.1197, 7.1334
11/27/23, 7.1497, 7.1557, 7.1256, 7.1315
11/24/23, 7.1391, 7.1554, 7.1391, 7.1497
11/23/23, 7.1556, 7.1558, 7.1366, 7.1391
11/22/23, 7.1082, 7.1566, 7.1000, 7.1557
11/21/23, 7.1690, 7.1694, 7.1082, 7.1082
11/20/23, 7.2111, 7.2111, 7.1640, 7.1691
11/17/23, 7.2419, 7.2490, 7.2111, 7.2112
11/16/23, 7.2469, 7.2613, 7.2418, 7.2420
11/15/23, 7.2531, 7.2625, 7.2346, 7.2468
11/14/23, 7.2904, 7.2954, 7.2530, 7.2531
11/13/23, 7.2896, 7.2982, 7.2893, 7.2905
11/10/23, 7.2831, 7.2937, 7.2827, 7.2896
11/09/23, 7.2804, 7.2875, 7.2767, 7.2831
11/08/23, 7.2795, 7.2820, 7.2662, 7.2803
11/07/23, 7.2693, 7.2868, 7.2690, 7.2795
11/06/23, 7.3000, 7.3000, 7.2671, 7.2694
11/03/23, 7.3157, 7.3188, 7.3010, 7.3011
11/02/23, 7.3170, 7.3195, 7.3151, 7.3157
11/01/23, 7.3162, 7.3199, 7.3153, 7.3170
10/31/23, 7.3130, 7.3189, 7.3128, 7.3160
10/30/23, 7.3173, 7.3187, 7.1686, 7.3139
10/27/23, 7.3161, 7.3189, 7.3148, 7.3172
10/26/23, 7.3172, 7.3195, 7.3148, 7.3158
10/25/23, 7.3104, 7.3179, 7.3060, 7.3172
10/24/23, 7.3156, 7.3161, 7.2985, 7.3103
10/23/23, 7.3170, 7.3181, 7.3136, 7.3157
10/20/23, 7.3128, 7.3235, 7.3087, 7.3170
10/19/23, 7.3154, 7.3179, 7.3120, 7.3129
10/18/23, 7.3129, 7.3177, 7.2992, 7.3153
10/17/23, 7.3109, 7.3158, 7.3094, 7.3129
10/16/23, 7.3048, 7.3129, 7.1780, 7.3109
10/13/23, 7.3028, 7.3090, 7.3017, 7.3048
10/12/23, 7.3001, 7.3037, 7.2921, 7.3029
10/11/23, 7.2955, 7.3035, 7.2911, 7.3001
10/10/23, 7.2918, 7.2998, 7.2906, 7.2954
10/09/23, 7.1953, 7.3021, 7.1953, 7.2919
10/06/23, 7.2005, 7.2009, 7.1838, 7.1953
10/05/23, 7.1977, 7.2029, 7.1898, 7.2004
10/04/23, 7.1971, 7.2022, 7.1931, 7.1978
10/03/23, 7.3015, 7.3015, 7.1911, 7.1970
10/02/23, 7.2952, 7.3015, 7.2952, 7.3015
09/29/23, 7.3005, 7.3011, 7.2951, 7.2952
09/28/23, 7.3099, 7.3124, 7.3003, 7.3004
09/27/23, 7.3116, 7.3129, 7.2959, 7.3100
09/26/23, 7.3117, 7.3123, 7.3028, 7.3115
09/25/23, 7.2980, 7.3125, 7.2980, 7.3118
09/22/23, 7.3079, 7.3080, 7.2962, 7.2980
09/21/23, 7.2871, 7.3094, 7.2868, 7.3079
09/20/23, 7.2972, 7.2995, 7.2871, 7.2871
09/19/23, 7.2917, 7.2985, 7.2901, 7.2973
09/18/23, 7.2748, 7.2976, 7.2748, 7.2917
09/15/23, 7.2768, 7.2821, 7.2165, 7.2749
09/14/23, 7.2701, 7.2800, 7.2694, 7.2768
09/13/23, 7.2923, 7.2925, 7.2695, 7.2701
09/12/23, 7.2897, 7.2959, 7.2828, 7.2922
09/11/23, 7.3430, 7.3440, 7.2402, 7.2896
09/08/23, 7.3286, 7.3501, 7.3282, 7.3434
09/07/23, 7.3166, 7.3297, 7.3165, 7.3286
09/06/23, 7.3043, 7.3218, 7.3034, 7.3170
09/05/23, 7.2724, 7.3073, 7.2721, 7.3043
09/04/23, 7.2612, 7.2743, 7.2581, 7.2725
09/01/23, 7.2584, 7.2662, 7.2461, 7.2612
08/31/23, 7.2846, 7.2915, 7.2578, 7.2583
08/30/23, 7.2809, 7.2941, 7.2794, 7.2847
08/29/23, 7.2905, 7.2952, 7.2389, 7.2808
08/28/23, 7.2897, 7.2957, 7.2828, 7.2905
08/25/23, 7.2778, 7.2913, 7.2776, 7.2897
08/24/23, 7.2785, 7.2868, 7.2694, 7.2778
08/23/23, 7.2937, 7.2938, 7.2040, 7.2785
08/22/23, 7.2428, 7.2977, 7.1866, 7.2936
08/21/23, 7.2816, 7.3084, 7.2377, 7.2428
08/18/23, 7.2814, 7.2948, 7.2694, 7.2816
08/17/23, 7.2981, 7.3174, 7.2429, 7.2814
08/16/23, 7.2825, 7.2989, 7.2725, 7.2979
08/15/23, 7.2595, 7.2891, 7.2279, 7.2826
08/14/23, 7.2022, 7.2645, 7.2022, 7.2595
08/11/23, 7.2171, 7.2385, 7.2020, 7.2371
08/10/23, 7.2093, 7.2184, 7.1866, 7.2172
08/09/23, 7.2171, 7.2174, 7.1766, 7.2093
08/08/23, 7.1937, 7.2215, 7.1845, 7.2170
08/07/23, 7.1707, 7.1945, 7.1411, 7.1936
08/04/23, 7.1654, 7.1863, 7.1361, 7.1708
08/03/23, 7.1917, 7.1930, 7.1525, 7.1658
08/02/23, 7.1779, 7.1945, 7.1337, 7.1916
08/01/23, 7.1432, 7.1790, 7.1367, 7.1779
07/31/23, 7.1487, 7.1530, 7.1127, 7.1433
07/28/23, 7.1742, 7.1747, 7.1485, 7.1489
07/27/23, 7.1507, 7.1758, 7.1203, 7.1742
07/26/23, 7.1363, 7.1618, 7.1358, 7.1507
07/25/23, 7.1864, 7.1869, 7.1321, 7.1363
07/24/23, 7.1878, 7.2069, 7.1821, 7.1864
07/21/23, 7.1776, 7.1881, 7.1617, 7.1878
07/20/23, 7.2270, 7.2270, 7.1658, 7.1776
07/19/23, 7.1801, 7.2270, 7.1798, 7.2270
07/18/23, 7.1720, 7.1823, 7.1642, 7.1801
07/17/23, 7.1411, 7.1778, 7.1410, 7.1720
07/14/23, 7.1511, 7.1512, 7.1195, 7.1411
07/13/23, 7.1663, 7.1759, 7.1505, 7.1511
07/12/23, 7.2102, 7.2104, 7.1645, 7.1663
07/11/23, 7.2316, 7.2324, 7.1954, 7.2102
07/10/23, 7.2212, 7.2414, 7.2193, 7.2316
07/07/23, 7.2500, 7.2505, 7.2198, 7.2212
07/06/23, 7.2475, 7.2543, 7.2318, 7.2500
07/05/23, 7.2147, 7.2505, 7.2124, 7.2475
07/04/23, 7.2407, 7.2429, 7.2109, 7.2147
07/03/23, 7.2535, 7.2556, 7.2327, 7.2407
06/30/23, 7.2526, 7.2690, 7.2429, 7.2535
06/29/23, 7.2445, 7.2538, 7.2351, 7.2526
06/28/23, 7.2202, 7.2548, 7.2201, 7.2445
06/27/23, 7.2376, 7.2379, 7.2062, 7.2202
06/26/23, 7.1799, 7.2390, 7.1795, 7.2376
06/23/23, 7.1795, 7.1801, 7.1794, 7.1799
06/22/23, 7.1795, 7.1796, 7.1795, 7.1795
06/21/23, 7.1819, 7.1981, 7.1785, 7.1795
06/20/23, 7.1615, 7.1833, 7.1615, 7.1819
06/19/23, 7.1263, 7.1628, 7.1263, 7.1615
06/16/23, 7.1210, 7.1412, 7.1060, 7.1263
06/15/23, 7.1637, 7.1807, 7.1200, 7.1210
06/14/23, 7.1678, 7.1685, 7.1473, 7.1637
06/13/23, 7.1455, 7.1679, 7.1427, 7.1678
06/12/23, 7.1286, 7.1476, 7.1286, 7.1455
06/09/23, 7.1123, 7.1322, 7.1111, 7.1286
06/08/23, 7.1298, 7.1421, 7.1122, 7.1123
06/07/23, 7.1201, 7.1311, 7.1104, 7.1298
06/06/23, 7.1053, 7.1240, 7.1012, 7.1201
06/05/23, 7.0849, 7.1245, 7.0848, 7.1053
06/02/23, 7.0945, 7.1030, 7.0562, 7.0849
06/01/23, 7.1118, 7.1244, 7.0945, 7.0945
05/31/23, 7.0801, 7.1127, 7.0800, 7.1118
05/30/23, 7.0731, 7.0987, 7.0679, 7.0801
05/29/23, 7.0647, 7.0794, 7.0618, 7.0731
05/26/23, 7.0789, 7.0798, 7.0454, 7.0647
05/25/23, 7.0609, 7.0791, 7.0607, 7.0789
05/24/23, 7.0567, 7.0675, 7.0376, 7.0609
05/23/23, 7.0358, 7.0573, 7.0354, 7.0567
05/22/23, 7.0076, 7.0358, 7.0076, 7.0358
05/19/23, 7.0359, 7.0599, 7.0027, 7.0076
05/18/23, 6.9986, 7.0428, 6.9969, 7.0359
05/17/23, 6.9772, 7.0040, 6.9772, 6.9986
05/16/23, 6.9526, 6.9790, 6.9521, 6.9772
05/15/23, 6.9582, 6.9657, 6.9477, 6.9526
05/12/23, 6.9487, 6.9583, 6.9429, 6.9582
05/11/23, 6.9333, 6.9497, 6.9306, 6.9487
05/10/23, 6.9205, 6.9333, 6.9150, 6.9333
05/09/23, 6.9124, 6.9293, 6.9121, 6.9205
05/08/23, 6.9106, 6.9189, 6.9105, 6.9124
05/05/23, 6.9066, 6.9201, 6.9054, 6.9106
05/04/23, 6.9121, 6.9200, 6.8924, 6.9066
05/03/23, 6.9121, 6.9121, 6.9121, 6.9121
05/02/23, 6.9121, 6.9121, 6.9121, 6.9121
05/01/23, 6.9122, 6.9122, 6.9121, 6.9121
04/28/23, 6.9238, 6.9287, 6.9113, 6.9122
04/27/23, 6.9268, 6.9327, 6.9111, 6.9238
04/26/23, 6.9327, 6.9332, 6.9165, 6.9269
04/25/23, 6.8964, 6.9336, 6.8915, 6.9327
04/24/23, 6.8936, 6.9065, 6.8899, 6.8964
04/21/23, 6.8732, 6.8966, 6.8729, 6.8936
04/20/23, 6.8859, 6.8959, 6.8715, 6.8731
04/19/23, 6.8760, 6.9010, 6.8756, 6.8860
04/18/23, 6.8798, 6.8802, 6.8652, 6.8760
04/17/23, 6.8715, 6.8820, 6.8667, 6.8799
04/14/23, 6.8689, 6.8722, 6.8321, 6.8715
04/13/23, 6.8748, 6.8782, 6.8676, 6.8689
04/12/23, 6.8870, 6.8902, 6.8698, 6.8748
04/11/23, 6.8818, 6.8927, 6.8814, 6.8870
04/10/23, 6.8707, 6.8821, 6.8701, 6.8817
04/07/23, 6.8759, 6.8799, 6.8662, 6.8707
04/06/23, 6.8795, 6.8840, 6.8722, 6.8759
04/05/23, 6.8799, 6.8800, 6.8794, 6.8795
04/04/23, 6.8782, 6.8851, 6.8763, 6.8799
04/03/23, 6.8688, 6.8948, 6.8688, 6.8782
03/31/23, 6.8719, 6.8768, 6.8454, 6.8688
03/30/23, 6.8871, 6.9078, 6.8717, 6.8719
03/29/23, 6.8745, 6.8934, 6.8739, 6.8871
03/28/23, 6.8851, 6.8877, 6.8729, 6.8745
03/27/23, 6.8681, 6.8907, 6.8680, 6.8851
03/24/23, 6.8199, 6.8805, 6.8197, 6.8681
03/23/23, 6.8807, 6.8807, 6.8175, 6.8199
03/22/23, 6.8845, 6.8935, 6.8776, 6.8807
03/21/23, 6.8786, 6.8857, 6.8695, 6.8845
03/20/23, 6.8871, 6.9032, 6.8753, 6.8786
03/17/23, 6.8982, 6.8987, 6.8622, 6.8871
03/16/23, 6.9069, 6.9110, 6.8907, 6.8982
03/15/23, 6.8716, 6.9090, 6.8715, 6.9069
03/14/23, 6.8457, 6.8860, 6.8457, 6.8716
03/13/23, 6.9063, 6.9172, 6.8371, 6.8457
03/10/23, 6.9647, 6.9714, 6.9020, 6.9063
03/09/23, 6.9517, 6.9742, 6.9510, 6.9647
03/08/23, 6.9622, 6.9773, 6.9466, 6.9517
03/07/23, 6.9301, 6.9628, 6.9229, 6.9622
03/06/23, 6.9074, 6.9350, 6.9043, 6.9301
03/03/23, 6.9153, 6.9153, 6.8882, 6.9074
03/02/23, 6.8691, 6.9183, 6.8691, 6.9153
03/01/23, 6.9334, 6.9334, 6.8623, 6.8691
02/28/23, 6.9450, 6.9490, 6.9308, 6.9334
02/27/23, 6.9562, 6.9733, 6.9427, 6.9450
02/24/23, 6.9081, 6.9604, 6.9080, 6.9562
02/23/23, 6.8922, 6.9081, 6.8796, 6.9081
02/22/23, 6.8736, 6.8997, 6.8734, 6.8922
02/21/23, 6.8551, 6.8807, 6.8550, 6.8736
02/20/23, 6.8677, 6.8725, 6.8511, 6.8551
02/17/23, 6.8607, 6.8851, 6.8606, 6.8677
02/16/23, 6.8530, 6.8667, 6.8431, 6.8607
02/15/23, 6.8269, 6.8535, 6.8241, 6.8530
02/14/23, 6.8229, 6.8310, 6.8099, 6.8269
02/13/23, 6.8095, 6.8339, 6.8094, 6.8229
02/10/23, 6.7807, 6.8137, 6.7806, 6.8095
02/09/23, 6.7892, 6.7923, 6.7730, 6.7807
02/08/23, 6.7927, 6.7927, 6.7716, 6.7892
02/07/23, 6.7949, 6.7954, 6.7745, 6.7927
02/06/23, 6.7751, 6.7962, 6.7709, 6.7949
02/03/23, 6.7324, 6.7815, 6.7321, 6.7751
02/02/23, 6.7420, 6.7424, 6.7108, 6.7324
02/01/23, 6.7547, 6.7551, 6.7394, 6.7420
01/31/23, 6.7488, 6.7585, 6.7488, 6.7547
01/30/23, 6.7835, 6.7845, 6.7456, 6.7488
01/27/23, 6.7835, 6.7845, 6.7832, 6.7835
01/26/23, 6.7840, 6.7845, 6.7833, 6.7835
01/25/23, 6.7845, 6.7848, 6.7839, 6.7840
01/24/23, 6.7846, 6.7846, 6.7845, 6.7845
01/23/23, 6.7838, 6.7846, 6.7838, 6.7845
01/20/23, 6.7769, 6.7885, 6.7681, 6.7838
01/19/23, 6.7481, 6.7892, 6.7480, 6.7769
01/18/23, 6.7739, 6.7873, 6.7431, 6.7481
01/17/23, 6.7336, 6.7826, 6.7335, 6.7739
01/16/23, 6.7030, 6.7345, 6.6910, 6.7336
01/13/23, 6.7387, 6.7391, 6.7029, 6.7030
01/12/23, 6.7705, 6.7708, 6.7306, 6.7387
01/11/23, 6.7785, 6.7878, 6.7629, 6.7705
01/10/23, 6.7725, 6.7893, 6.7540, 6.7785
01/09/23, 6.8385, 6.8387, 6.7601, 6.7725
01/06/23, 6.8818, 6.8829, 6.8367, 6.8385
01/05/23, 6.8886, 6.8900, 6.8688, 6.8818
01/04/23, 6.9151, 6.9151, 6.8791, 6.8886
01/03/23, 6.8986, 6.9236, 6.8761, 6.9151
01/02/23, 6.8983, 6.8987, 6.8983, 6.8986
12/30/22, 6.9641, 6.9641, 6.8932, 6.8983
12/29/22, 6.9787, 6.9810, 6.9612, 6.9641
12/28/22, 6.9601, 6.9787, 6.9601, 6.9787
12/27/22, 6.9622, 6.9683, 6.9491, 6.9601
12/26/22, 6.9893, 6.9906, 6.9584, 6.9622
12/23/22, 6.9845, 6.9978, 6.9811, 6.9893
12/22/22, 6.9820, 6.9846, 6.9738, 6.9845
12/21/22, 6.9619, 6.9838, 6.9618, 6.9820
12/20/22, 6.9795, 6.9894, 6.9609, 6.9619
12/19/22, 6.9733, 6.9854, 6.9695, 6.9795
12/16/22, 6.9732, 7.1506, 6.9644, 6.9733
12/15/22, 6.9506, 6.9780, 6.9470, 6.9732
12/14/22, 6.9448, 6.9635, 6.9393, 6.9506
12/13/22, 6.9775, 6.9886, 6.9444, 6.9448
12/12/22, 6.9578, 6.9881, 6.9578, 6.9775
12/09/22, 6.9674, 6.9675, 6.9449, 6.9578
12/08/22, 6.9735, 6.9821, 6.9648, 6.9674
12/07/22, 6.9960, 6.9960, 6.9717, 6.9735
12/06/22, 6.9620, 6.9999, 6.9574, 6.9960
12/05/22, 7.0246, 7.0246, 6.9453, 6.9620
12/02/22, 7.0444, 7.0658, 7.0204, 7.0246
12/01/22, 7.0925, 7.0925, 7.0437, 7.0444
11/30/22, 7.1593, 7.1593, 7.0703, 7.0925
11/29/22, 7.2082, 7.2098, 7.1547, 7.1593
11/28/22, 7.1654, 7.2371, 7.1654, 7.2082
11/25/22, 7.1520, 7.1806, 7.1483, 7.1654
11/24/22, 7.1605, 7.1605, 7.1327, 7.1520
11/23/22, 7.1403, 7.1725, 7.1399, 7.1605
11/22/22, 7.1653, 7.1653, 7.1322, 7.1403
11/21/22, 7.1198, 7.1691, 7.1196, 7.1653
11/18/22, 7.1574, 7.1574, 7.1104, 7.1198
11/17/22, 7.0888, 7.1644, 7.0880, 7.1574
11/16/22, 7.0445, 7.0889, 7.0442, 7.0888
11/15/22, 7.0740, 7.0741, 7.0252, 7.0445
11/14/22, 7.1083, 7.1083, 7.0258, 7.0740
11/11/22, 7.1870, 7.1888, 7.0902, 7.1083
11/10/22, 7.2419, 7.2728, 7.1855, 7.1870
11/09/22, 7.2493, 7.2565, 7.2336, 7.2419
11/08/22, 7.2290, 7.2635, 7.2210, 7.2493
11/07/22, 7.1851, 7.2505, 7.1851, 7.2290
11/04/22, 7.3016, 7.3089, 7.1794, 7.1851
11/03/22, 7.2898, 7.3214, 7.2896, 7.3016
11/02/22, 7.2774, 7.2901, 7.2668, 7.2898
11/01/22, 7.3029, 7.3274, 7.2549, 7.2774
10/31/22, 7.2525, 7.3041, 7.2525, 7.3029
10/28/22, 7.2288, 7.2620, 7.2193, 7.2525
10/27/22, 7.1730, 7.2369, 7.1699, 7.2288
10/26/22, 7.2694, 7.2997, 7.1730, 7.1730
10/25/22, 7.2630, 7.3093, 7.2604, 7.2694
10/24/22, 7.2438, 7.2633, 7.2428, 7.2630
10/21/22, 7.2164, 7.2516, 7.2162, 7.2438
10/20/22, 7.2288, 7.2434, 7.2136, 7.2164
10/19/22, 7.2021, 7.2300, 7.1982, 7.2288
10/18/22, 7.1964, 7.2022, 7.1879, 7.2021
10/17/22, 7.1910, 7.2059, 7.1873, 7.1964
10/14/22, 7.1706, 7.2004, 7.1606, 7.1910
10/13/22, 7.1751, 7.2221, 7.1670, 7.1706
10/12/22, 7.1658, 7.1910, 7.1561, 7.1751
10/11/22, 7.1545, 7.1949, 7.1508, 7.1658
10/10/22, 7.1160, 7.1547, 7.1084, 7.1545
10/07/22, 7.1160, 7.1164, 7.1159, 7.1160
10/06/22, 7.1160, 7.1161, 7.1160, 7.1160
10/05/22, 7.1160, 7.1161, 7.1160, 7.1160
10/04/22, 7.1160, 7.1161, 7.1160, 7.1160
10/03/22, 7.1160, 7.1161, 7.1160, 7.1160
09/30/22, 7.1250, 7.1343, 7.0835, 7.1160
09/29/22, 7.2005, 7.2112, 7.1242, 7.1250
09/28/22, 7.1779, 7.2507, 7.1778, 7.2005
09/27/22, 7.1337, 7.1786, 7.1337, 7.1779
09/26/22, 7.1284, 7.1685, 7.1284, 7.1337
09/23/22, 7.0781, 7.1299, 7.0779, 7.1284
09/22/22, 7.0490, 7.0956, 7.0488, 7.0781
09/21/22, 7.0183, 7.0544, 7.0182, 7.0490
09/20/22, 7.0067, 7.0212, 7.0044, 7.0183
09/19/22, 6.9838, 7.0206, 6.9797, 7.0067
09/16/22, 6.9945, 7.0255, 6.9812, 6.9838
09/15/22, 6.9620, 6.9962, 6.9606, 6.9945
09/14/22, 6.9254, 6.9714, 6.9250, 6.9620
09/13/22, 6.9265, 6.9327, 6.9191, 6.9254
09/12/22, 6.9265, 6.9265, 6.9265, 6.9265
09/09/22, 6.9576, 6.9576, 6.9172, 6.9265
09/08/22, 6.9661, 6.9693, 6.9501, 6.9576
09/07/22, 6.9543, 6.9799, 6.9539, 6.9661
09/06/22, 6.9340, 6.9654, 6.9299, 6.9543
09/05/22, 6.9000, 6.9432, 6.9000, 6.9340
09/02/22, 6.9070, 6.9092, 6.9000, 6.9000
09/01/22, 6.8904, 6.9082, 6.8901, 6.9070
08/31/22, 6.9119, 6.9153, 6.8870, 6.8904
08/30/22, 6.9081, 6.9214, 6.8994, 6.9119
08/29/22, 6.8718, 6.9226, 6.8718, 6.9080
08/26/22, 6.8493, 6.8730, 6.8475, 6.8718
08/25/22, 6.8596, 6.8596, 6.8427, 6.8492
08/24/22, 6.8351, 6.8696, 6.8350, 6.8596
08/23/22, 6.8490, 6.8661, 6.8331, 6.8351
08/22/22, 6.8171, 6.8509, 6.8167, 6.8489
08/19/22, 6.7861, 6.8189, 6.7861, 6.8171
08/18/22, 6.7810, 6.7961, 6.7769, 6.7861
08/17/22, 6.7881, 6.7885, 6.7688, 6.7810
08/16/22, 6.7735, 6.7974, 6.7732, 6.7882
08/15/22, 6.7429, 6.7743, 6.7425, 6.7735
08/12/22, 6.7446, 6.7465, 6.7325, 6.7429
08/11/22, 6.7238, 6.7448, 6.7237, 6.7447
08/10/22, 6.7527, 6.7600, 6.7232, 6.7237
08/09/22, 6.7506, 6.7583, 6.7504, 6.7526
08/08/22, 6.7622, 6.7649, 6.7505, 6.7509
08/05/22, 6.7493, 6.7625, 6.7439, 6.7622
08/04/22, 6.7578, 6.7591, 6.7464, 6.7493
08/03/22, 6.7525, 6.7587, 6.7453, 6.7579
08/02/22, 6.7688, 6.7820, 6.7494, 6.7527
08/01/22, 6.7442, 6.7743, 6.7442, 6.7688
07/29/22, 6.7473, 6.7518, 6.7280, 6.7442
07/28/22, 6.7585, 6.7589, 6.7387, 6.7473
07/27/22, 6.7633, 6.7689, 6.7505, 6.7585
07/26/22, 6.7510, 6.7654, 6.7453, 6.7632
07/25/22, 6.7513, 6.7580, 6.7441, 6.7510
07/22/22, 6.7666, 6.7714, 6.7473, 6.7513
07/21/22, 6.7559, 6.7710, 6.7558, 6.7667
07/20/22, 6.7449, 6.7559, 6.7400, 6.7558
07/19/22, 6.7433, 6.7535, 6.7392, 6.7450
07/18/22, 6.7574, 6.7575, 6.7319, 6.7432
07/15/22, 6.7565, 6.7688, 6.7404, 6.7574
07/14/22, 6.7187, 6.7674, 6.7187, 6.7564
07/13/22, 6.7248, 6.7386, 6.7167, 6.7187
07/12/22, 6.7183, 6.7373, 6.7181, 6.7248
07/11/22, 6.6952, 6.7195, 6.6952, 6.7183
07/08/22, 6.7020, 6.7077, 6.6934, 6.6952
07/07/22, 6.7080, 6.7131, 6.6984, 6.7020
07/06/22, 6.7199, 6.7200, 6.7021, 6.7080
07/05/22, 6.7001, 6.7233, 6.6846, 6.7199
07/04/22, 6.7010, 6.7022, 6.6883, 6.7001
07/01/22, 6.6994, 6.7167, 6.6939, 6.7010
06/30/22, 6.7004, 6.7056, 6.6905, 6.6995
06/29/22, 6.7079, 6.7090, 6.6896, 6.7005
06/28/22, 6.6918, 6.7120, 6.6747, 6.7080
06/27/22, 6.6898, 6.6939, 6.6833, 6.6918
06/24/22, 6.6983, 6.6994, 6.6856, 6.6898
06/23/22, 6.7023, 6.7148, 6.6980, 6.6984
06/22/22, 6.6895, 6.7263, 6.6894, 6.7021
06/21/22, 6.6925, 6.7008, 6.6756, 6.6895
06/20/22, 6.7167, 6.7167, 6.6734, 6.6925
06/17/22, 6.7029, 6.7180, 6.6934, 6.7167
06/16/22, 6.7141, 6.7175, 6.6919, 6.7030
06/15/22, 6.7410, 6.7410, 6.7049, 6.7135
06/14/22, 6.7546, 6.7612, 6.7135, 6.7410
06/13/22, 6.7089, 6.7593, 6.7086, 6.7546
06/10/22, 6.6923, 6.7173, 6.6794, 6.7089
